platform,title,release_time,developer,publisher,price,description,genres
steam,Necromunda: Hired Gun,"1 Jun, 2021",Streum On Studio,null,125.8,"Become a Hired Gun. The money’s good, the dog’s loyal, and the gun’s reliable. Embark on a fast-paced, violent, and thrilling FPS set in the darkest reaches of Warhammer 40,000’s most infamous hive city.","[{""genres"":""Action""},{""genres"":""Adventure""},{""genres"":""Warhammer 40K""},{""genres"":""Shooter""},{""genres"":""First-Person""},{""genres"":""Action-Adventure""},{""genres"":""Violent""},{""genres"":""Gore""},{""genres"":""FPS""},{""genres"":""Singleplayer""},{""genres"":""Combat""},{""genres"":""Games Workshop""},{""genres"":""Dog""}]"
steam,Monster Hunter: World,"9 Aug, 2018","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",133.0,"Welcome to a new world! In Monster Hunter: World, the latest installment in the series, you can enjoy the ultimate hunting experience, using everything at your disposal to hunt monsters in a new world teeming with surprises and excitement.","[{""genres"":""Co-op""},{""genres"":""Multiplayer""},{""genres"":""Action""},{""genres"":""Open World""},{""genres"":""RPG""},{""genres"":""Third Person""},{""genres"":""Character Customization""},{""genres"":""Adventure""},{""genres"":""Fantasy""},{""genres"":""Difficult""},{""genres"":""Singleplayer""},{""genres"":""Action RPG""},{""genres"":""Exploration""},{""genres"":""Great Soundtrack""},{""genres"":""Replay Value""},{""genres"":""Atmospheric""},{""genres"":""Hack and Slash""},{""genres"":""JRPG""},{""genres"":""Souls-like""},{""genres"":""MMORPG""}]"
steam,STAR WARS?: Squadrons,"1 Oct, 2020",MOTIVE,Electronic Arts,79.0,"Master the art of starfighter combat in the authentic piloting experience STAR WARS™: Squadrons. Feel the adrenaline of first-person multiplayer space dogfights alongside your squadron, and buckle up in a thrilling STAR WARS™ story.","[{""genres"":""Flight""},{""genres"":""Space""},{""genres"":""Multiplayer""},{""genres"":""VR""},{""genres"":""Sci-fi""},{""genres"":""Singleplayer""},{""genres"":""Action""},{""genres"":""Simulation""},{""genres"":""First-Person""},{""genres"":""PvP""},{""genres"":""Online Co-Op""},{""genres"":""Spaceships""},{""genres"":""Co-op""},{""genres"":""Shooter""},{""genres"":""Controller""},{""genres"":""Space Sim""},{""genres"":""Adventure""},{""genres"":""Female Protagonist""},{""genres"":""Strategy""},{""genres"":""Open World""}]"
steam,Valheim,"2 Feb, 2021",Iron Gate AB,Coffee Stain Publishing,70.0,"A brutal exploration and survival game for 1-10 players, set in a procedurally-generated purgatory inspired by viking culture. Battle, build, and conquer your way to a saga worthy of Odin’s patronage!","[{""genres"":""Open World Survival Craft""},{""genres"":""Survival""},{""genres"":""Online Co-Op""},{""genres"":""Open World""},{""genres"":""Crafting""},{""genres"":""Building""},{""genres"":""Exploration""},{""genres"":""Multiplayer""},{""genres"":""Co-op""},{""genres"":""Base Building""},{""genres"":""Mythology""},{""genres"":""Sandbox""},{""genres"":""Adventure""},{""genres"":""Sailing""},{""genres"":""RPG""},{""genres"":""Early Access""},{""genres"":""Action""},{""genres"":""Indie""},{""genres"":""PvP""},{""genres"":""Fishing""}]"
steam,Warhammer Age of Sigmar: Storm Ground,"26 May, 2021",Gasket Games,null,125.8,"Conquer the Mortal Realms! The first strategy videogame adaptation of Age of Sigmar’s dark-fantasy universe. Lead your highly-customisable force in challenging roguelike campaigns, unlocking new units, equipment and skills in dynamic, turn-based warfare.","[{""genres"":""Strategy""},{""genres"":""Turn-Based Strategy""},{""genres"":""Fantasy""},{""genres"":""Turn-Based Tactics""},{""genres"":""Top-Down""},{""genres"":""PvP""},{""genres"":""Games Workshop""},{""genres"":""Multiplayer""},{""genres"":""Singleplayer""},{""genres"":""Roguelite""},{""genres"":""Roguelike""},{""genres"":""Warhammer 40K""}]"
steam,BeamNG.drive,"29 May, 2015",BeamNG,BeamNG,64.0,A dynamic soft-body physics vehicle simulator capable of doing just about anything.,"[{""genres"":""Simulation""},{""genres"":""Driving""},{""genres"":""Destruction""},{""genres"":""Physics""},{""genres"":""Automobile Sim""},{""genres"":""Realistic""},{""genres"":""Open World""},{""genres"":""Racing""},{""genres"":""Sandbox""},{""genres"":""Moddable""},{""genres"":""Singleplayer""},{""genres"":""Early Access""},{""genres"":""Exploration""},{""genres"":""First-Person""},{""genres"":""Funny""},{""genres"":""Third Person""},{""genres"":""Action""},{""genres"":""Adventure""},{""genres"":""Flight""},{""genres"":""Arcade""}]"
steam,Grand Theft Auto IV: The Complete Edition,"24 Mar, 2020",Rockstar North,Rockstar Games,29.0,"Niko Bellic, Johnny Klebitz and Luis Lopez all have one thing in common - they live in the worst city in America. Liberty City worships money and status, and is heaven for those who have them and a living nightmare for those who don't.","[{""genres"":""Open World""},{""genres"":""Action""},{""genres"":""Automobile Sim""},{""genres"":""Multiplayer""},{""genres"":""Third Person""},{""genres"":""Crime""},{""genres"":""Adventure""},{""genres"":""Singleplayer""},{""genres"":""Third-Person Shooter""},{""genres"":""Sandbox""},{""genres"":""Moddable""},{""genres"":""Shooter""},{""genres"":""Physics""},{""genres"":""Atmospheric""},{""genres"":""Funny""},{""genres"":""Classic""},{""genres"":""Dark Humor""},{""genres"":""Gore""},{""genres"":""Co-op""},{""genres"":""Satire""}]"
steam,It Takes Two,"25 Mar, 2021",Hazelight,Electronic Arts,0.0,Embark on the craziest journey of your life in It Takes Two. Invite a friend to join for free with Friend’s Pass and work together across a huge variety of gleefully disruptive gameplay challenges.,"[{""genres"":""Co-op""},{""genres"":""Adventure""},{""genres"":""Split Screen""},{""genres"":""Puzzle""},{""genres"":""Puzzle Platformer""},{""genres"":""3D Platformer""},{""genres"":""Platformer""},{""genres"":""Story Rich""},{""genres"":""Action-Adventure""},{""genres"":""Local Co-Op""},{""genres"":""Female Protagonist""},{""genres"":""Action""},{""genres"":""Multiplayer""},{""genres"":""Co-op Campaign""},{""genres"":""Atmospheric""},{""genres"":""Local Multiplayer""},{""genres"":""Emotional""},{""genres"":""Online Co-Op""},{""genres"":""Exploration""},{""genres"":""Minigames""}]"
steam,7 Days to Die,"13 Dec, 2013",The Fun Pimps,The Fun Pimps Entertainment LLC,23.0,"7 Days to Die is an open-world game that is a unique combination of first person shooter, survival horror, tower defense, and role-playing games. Play the definitive zombie survival sandbox RPG that came first. Navezgane awaits!","[{""genres"":""Early Access""},{""genres"":""Survival""},{""genres"":""Voxel""},{""genres"":""Zombies""},{""genres"":""Post-apocalyptic""},{""genres"":""Open World""},{""genres"":""Open World Survival Craft""},{""genres"":""Simulation""},{""genres"":""Exploration""},{""genres"":""Base Building""},{""genres"":""Strategy""},{""genres"":""Multiplayer""},{""genres"":""Procedural Generation""},{""genres"":""Tower Defense""},{""genres"":""Character Customization""},{""genres"":""Online Co-Op""},{""genres"":""Sandbox""},{""genres"":""Building""},{""genres"":""FPS""},{""genres"":""Action""}]"
steam,Solasta: Crown of the Magister,"27 May, 2021",Tactical Adventures,Tactical Adventures,103.0,"Roll for initiative, take attacks of opportunity, manage player location and the verticality of the battle field in this upcoming Turn-Based Tactical RPG based on the SRD 5.1 Ruleset. In Solasta, you make the choices, dice decide your destiny.","[{""genres"":""RPG""},{""genres"":""Dungeons & Dragons""},{""genres"":""Choices Matter""},{""genres"":""Early Access""},{""genres"":""Tactical""},{""genres"":""Character Customization""},{""genres"":""Fantasy""},{""genres"":""Party-Based RPG""},{""genres"":""CRPG""},{""genres"":""Tactical RPG""},{""genres"":""Story Rich""},{""genres"":""Turn-Based Tactics""},{""genres"":""Top-Down""},{""genres"":""3D""},{""genres"":""Dragons""},{""genres"":""Singleplayer""},{""genres"":""Team-Based""},{""genres"":""Strategy""},{""genres"":""Turn-Based Strategy""},{""genres"":""Turn-Based Combat""},{""genres"":""RPG""},{""genres"":""Singleplayer""},{""genres"":""Story Rich""},{""genres"":""Strategy""}]"
